"","x"
"134","https://fbref.com/en/matches/37621865/San-Lorenzo-Talleres-July-25-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"135","https://fbref.com/en/matches/5ec0c7cb/Banfield-Argentinos-Jun-July-25-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"136","https://fbref.com/en/matches/831a7b93/Newells-OB-Defensa-y-Just-July-25-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"137","https://fbref.com/en/matches/75212051/Barracas-Central-Patronato-July-26-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"138","https://fbref.com/en/matches/9d7593f4/Arsenal-Rosario-Cent-July-26-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"139","https://fbref.com/en/matches/76de97fb/CA-Union-Godoy-Cruz-July-25-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"140","https://fbref.com/en/matches/88f51815/Velez-Sarsf-CA-Huracan-July-25-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"141","https://fbref.com/en/matches/3e3b537d/Godoy-Cruz-Velez-Sarsf-July-29-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"142","https://fbref.com/en/matches/ad5fdd1c/Argentinos-Jun-San-Lorenzo-July-30-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"143","https://fbref.com/en/matches/20955622/Estudiantes-Banfield-July-30-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"144","https://fbref.com/en/matches/39c23982/Tucuman-Newells-OB-July-30-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"145","https://fbref.com/en/matches/99038dea/CA-Huracan-Gimnasia-ELP-July-30-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"146","https://fbref.com/en/matches/742dcf41/Lanus-Aldosivi-July-31-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"147","https://fbref.com/en/matches/b2a665ef/Platense-Barracas-Central-July-31-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"148","https://fbref.com/en/matches/0ea07394/Racing-Club-Tigre-July-31-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"149","https://fbref.com/en/matches/eda6afd8/Patronato-Boca-Juniors-July-31-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"150","https://fbref.com/en/matches/2e106d85/River-Plate-Sarmiento-July-31-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"151","https://fbref.com/en/matches/630af964/Rosario-Cent-CC-Cordoba-August-1-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"152","https://fbref.com/en/matches/d004b5fa/Defensa-y-Just-Arsenal-August-1-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"153","https://fbref.com/en/matches/c2336fe4/Colon-Independiente-August-1-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"154","https://fbref.com/en/matches/174d05fa/Gimnasia-ELP-Godoy-Cruz-August-5-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"155","https://fbref.com/en/matches/191ed382/Arsenal-Tucuman-August-6-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"156","https://fbref.com/en/matches/c928d4b1/Barracas-Central-Racing-Club-August-6-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
